authorName,createTime,introduce,playTimes,songSheet,tags
winner,2017-11-24,所谓的“叛道“，只是在强调根源色彩的乡村音乐传统的继续，它是,626293,适合短途旅行时听的Outlaw Country,"乡村,思念,旅行"
玫瑰王,2018-05-30,一座陌生的城市，有的人是为了梦想，为了职业生涯，有的则是喜欢,1107385,情感放空：霓虹间无人知晓的我,"国语,寂寞,思念"
谜一般的年轻人,2018-05-14,City&#160;Pop并不是在当时唯一流行的乐种，但是比,195148,日本新生代 City Pop乐队作品,流行
荣耀领袖,2018-06-11,夜不能寐，可否借你耳朵一用：初听入心，再听沁心，你可当真没心,579114,把耳朵凑过来，我要把晚安全给你,"安静,轻音乐,睡前"
静静的顿河,2018-05-28,德国回声音乐奖其下的古典回声奖（ECHO&#160;Klas,24176,德国回声奖历届年度指挥及获奖作品,古典
Aa.敷衍💨,2018-05-30,最早Future&#160;house起源于2010年，那时,593950,晨跑必备：律动Future house,"电子,运动"
谈谈心恋恋爱 *,2018-06-14,　2018年的美剧，可以用繁盛来形容。这一年，我们在荧幕上，,61728,2018上半年豆瓣高评分美剧盘点,"英语,影视"
Sugarbling。Ada,2018-05-15,乡村音乐名人堂&#160;List&#160;of&#160,153103,乡村音乐名人堂精选80首,乡村
谈谈心恋恋爱 *,2018-05-29,本歌单精选内地60位90后民谣男声，选歌比较小众，如果不喜欢,357850,内地新生代90后民谣男歌手,"国语,民谣"
你的耳机是我的,2018-06-14,美国从种族和民族上来讲都是一个多元化国家，所以它的音乐也是多,152491,多元色彩 | 美国新世纪器乐曲,"新世纪,乐器"
SPK.EX™,2018-05-25,Moombahton是一种House和Reggaeton结合,100514,Moombahton｜奇幻的异域风电子,电子
夜空,2018-05-29,“你还记得他吗？”&#160;<br>“早忘了。”&#160,827552,听见心碎：52首关于失恋的华语女声,"国语,流行,伤感"
生如夏花,2018-06-05,“喂，兄弟，今晚去东欧蹦迪…”然后…然后我就梦醒来了，这就尴,1524996,“兄弟，今晚去东欧蹦迪？”,"小语种,夜店"
谜一般的年轻人,2018-05-15,器乐乡村是指任何一种形式的乡村音乐，一般必用到鼓，木吉他，贝,133360,无声胜有声 | 器乐乡村,"乡村,轻音乐"
Jane&Danny,2018-05-24,《滚石》这本第一期只卖出6000本的音乐小报在日后30多年里,101845,滚石杂志之摇滚巨星 Top 50,摇滚
我同事的嘴很甜,2017-07-18,英国有许多创作型男歌手，不仅能开嗓唱，可作词，可谱曲，甚至还,698650,爱上一个英国创作男歌手的日子,"流行,英语"
Emotional,2018-06-11,如果您正在收听此单，那么，请您一定要点进来！因为此单为站内最,407995,十种House分支鉴赏,电子
__青衫__,2018-06-13,长安作为十三朝古都，现为西安。在漫长的历史长河中，独具雄浑特,115335,在古风中读懂长安,"国语,古风,学习"
Emilie Austen,2018-06-11,世界杯来了，带着一股强劲的龙卷风来了！在茵茵绿草场上，有太多,462548,腾讯足球视频背景音乐,"背景音乐,运动"
Emotional,2018-05-15,一个人想，一个人走，一个人笑，一个人哭，一个人伤心，一个人从,267333,Chillstep：如临仙境的梦幻旋律,电子
           私に闻いて风i,2018-05-22,第97期：<br>首先给你们说下，这张歌单是官方约的歌单，<,987175,无限狂热！动漫中の摇滚音乐,"日语,摇滚,ACG"
清凉暖夏,2017-10-12,Twee&#160;pop也许可被比作独立音乐中的泡泡，其音,183173,「Twee Pop」泡泡糖味儿的独立音乐,"英语,快乐"
Hz.Music,2016-09-06,前几日的“最忆是杭州”你看了吗？大家都在朋友圈盛赞，说被杭州,1651488,中华乐器 婉转悠长美｜琵琶篇,乐器
Sugarbling。Ada,2018-06-05,歌单整理了滚石杂志评选出来的世界上最伟大的100位吉他手，六,113184,滚石评选最伟大吉他手Top 100,"流行,英语"
